Mineral,Year,No. of mines submitting returns,Below ground,"Opencastworkings","Aboveground",Total,Output (in ’000 tonnes),Value of output (in million Rs.),
IronOre,1961,225,--,"41,003","13,507","54,540","12,270*",102
,1971,244,45,"39,100","13,376","52,821","32,974",373
,1981,205,--,"29,390","15,543","44,933","42,779","1,312"
,1991,190,--,"24,532","15,518","40,050","60,032","6,418"
,2000,218,--,"20,729","14,564","35,293","84,770","20,481"
,2001,207,--,"18,529","13,776","32,305","90,476","22,064"
,2002,207,--,"20,491","13,166","33,657","99,813","27,841"
,2003,221,--,"20,137","15,686","35,823","118,813","35,560"
,2004,235,--,"22,520","16,087","38,607","135,755","51,592"
,2005,256,--,"22,270","15,207","37,477","155,425","75,524"
,2006,244,--,"23,680","17,885","41,565","193,495","99,046"
,2007,257,--,"23,959","1,7822",41781,"235,763","141,769"
,2008,292,--,"25,970","18,958","44,828","230,638","181,739"
,2009,309,--,"27,729","19,471","47,200","231,021","202,950"
,2010,327,12,"26,803","20,496","47,311","256,302","221,220"
,2011,342,--,"28,882","23,775","52,657","252,173","258,055"
,2012,362,--,"29,998","25,292","55,290","250,106","263,969"
,2013,367,--,"27,571","25,362","52,933","224,171","229,793"
,2014,367,,"26,638","23,874","50,512","224,930","254,359"
,2015,372,-,"28,425","23,637","52,062","225,067","237,888"
Limestone,1961,175,5,"47,076","7,585","54,666","14,346*",67
,1971,261,2,"44,295","8,944","53,241","25,260",227
,1981,262,--,"41,032","8,738","49,770","32,555",733
,1991,340,--,"34,293","9,229","43,522","75,024","3,872"
,2000,452,--,"22,704","8,424","31,128","148,804","12,046"
,2001,422,--,"18,294","5,982","24,276","147,345","11,356"
,2002,413,--,"18,897","6,294","25,191","158,592","12,268"
,2003,377,--,"18,450","5,815","24,265","1,90,454","15,646"
,2004,396,--,"18,962","5,816","24,778","2,56,709","20,899"
,2005,421,--,"20,012","5,816","25,828","2,14,360","20,794"
,2006,400,--,"19,936","5,685","25,621","2,13,851","21,832"
,2007,417,--,"21,548","6,157","27,705","2,69,648","27,472"
,2008,436,--,"21,736","6,366","28,102","2,74,008","34,271"
,2009,452,--,"21,858","6,715","28,573","2,80,082","42,868"
,2010,463,--,"22,051","6,222","28,273","3,37,395","50,629"
,2011,455,--,"22,527","6,094","28,621","3,13,862","47,357"
,2012,517,4,"23,770","6,357","30,131","3,67,725","74,526"
,2013,556,--,"25,870","7,837","33,707","4,41,140","65,390"
,2014,567,1,"25,647","7,824","33,472","4,78,926","86,143"
,2015,574,-,"2,9025","8,532","37,557","7,56,118","192,632"
ManganeseOre,1961,416,"1,773","34,345","10,923","47,041","1,230*",76
,1971,166,"1,889","22,095","6,387","30,371","1,609",87
,1981,155,"2,348","18,374","5,812","26,534","1,552",218
,1991,133,"2,614","10,243","5,009","17,866","1,683",795
,2000,128,"2,624","9,201","4,311","16,136","1,986","2,278"
,2001,108,"2,498","7,119","4,020","13,637","1,936","2,088"
,2002,114,"2,550","7,451","3,728","13,729","1,914","2,214"
,2003,102,"2,457","7,389","3,420","13,266","2,411","2,355"
,2004,101,"3,010","7,639","3,920","14,569","2,835","3,418"
,2005,110,"2,823","7,818","4,015","14,656","2,770","4,097"
,2006,105,"2,549","6,866","3,755","13,170","2,853","4,266"
,2007,104,"2,648","6,758","3,981","13,387","3,503","5,170"
,2008,125,"2,585","7,040","3,844","13,469","3,618","10,048"
,2009,125,"2,249","7,461","3,686","13,396","3,662","12,272"
,2010,126,"2,185","7,373","4,313","13,871","4,049","14,614"
,2011,129,"2,866","7,918",5026,"15,810","6,084","14,897"
,2012,132,"2,880","8,174","5,405","16,459","6,770","17,873"
,2013,139,"2,651","8,572","6,221","17,444","7,338","18,021"
,2014,139,"2,820","8,414","7,608","18,842","6,591","15,166"
,2015,152,"5,124","9,765","7,721","22,610","7,297","16,439"
Mica,1961,808,"17,004","3,616","9,015","29,635","28,347*",24
,1971,345,"7,917",369,"3,960","12,236","14,356",22
,1981,193,"4,620",135,"1,980","6,735","7,862",29
,1991,83,"1,550",73,550,"2,173","3,554",43
,2000,42,667,59,257,983,"3,245",59
,2001,32,342,82,185,609,"3,202",69
,2002,30,433,30,161,624,"2,077",36
,2003,30,401,58,153,612,"2,922",32
,2004,31,418,48,165,631,"3,290",33
,2005,27,386,62,165,613,"4,088",49
,2006,31,323,117,173,613,"3,185",40
,2007,28,376,73,168,617,"3,896",57
,2008,33,390,99,200,689,"4,081",84
,2009,35,350,102,171,623,"3,135",89
,2010,29,326,191,174,691,"17,666",165
,2011,29,287,199,177,663,"24,414",116
,2012,27,233,164,175,572,"12,412",100
,2013,31,240,151,187,578,"9,714",120
,2014,33,268,147,164,579,"3,215",53
,2015,31,278,125,146,549,"5,166",63
Stone,1961,113,--,"4,208","4,316","8,524","1,679",10
,1971,163,--,"5,463","3,318","8,781","3,808",31
,1981,174,--,"4,493","3,207","7,700","4,105",81
,1991,228,--,"8,273","2,970","11,243","11,635",490
,2000,206,--,"4,236","2,171","6,407","15,620",970
,2001,209,--,"4,208","2,082","6,290","15,151","1,031"
,2002,209,--,"4,837","2,964","7,801","14,863","1,066"
,2003,189,--,"4,936","3,043","7,979","10,454",841
,2004,189,--,"5,055","2,886","7,941","12,688","1,029"
,2005,197,--,"4,931","2,114","7,045","20,282","1,398"
,2006,171,--,"4,641","1,908","6,549","21,728","1,567"
,2007,177,--,"6,636","2,193","8,829","23,150","1,664"
,2008,182,--,"4,998","2,008","7,006","31,211","2,062"
,2009,180,--,"4,997","2,240","7,237","36,670","2,990"
,2010,178,--,"4,994","2,186","7,180","37,593","3,273"
,2011,167,--,"4,934","2,124","7,058","37,270","3,276"
,2012,181,--,"5,010","2,192","7,202","37,001","3,163"
,2013,187,--,"5,284","2,207","7,491","41,931","3,477"
,2014,191,--,"5,278","2,214","7,492","44,209","3,763"
,2015,273,50,"6,058","2,268","8,376","84,815","6,887"
Metalliferous,1971,"1,995","26,952","152,809","55,151","234,912",--,"1,080"
,1981,"1,768","29,289","135,450","57,158","221,897",--,"3,620"
,1991,"1,787","23,832","116,743","59,658","200,233",--,"19,076"
,2000,"2,022","14,398","91,443","51,071","156,912",--,"53,111"
,2001,"1,907","10,959","80,672","45,010","136,641",--,"54,032"
,2002,"1,870","10,266","83,183","43,489","136,938",--,"64,964"
,2003,"1,716","7,742","84,261","44,965","136,968",--,"77,605"
,2004,"1,764","8,061","89,165","46,318","143,544",--,"104,283"
,2005,"1,835","7,911","88,686","44,320","1,40,917",--,"133,418"
,2006,"1,720","7,814","88,673","46,885","1,43,372",--,"162,160"
,2007,"1,770","8,539","94,934","48,250","1,51,723",--,"235,351"
,2008,"1,904","9,088","97,233","49,766","1,56,087",--,"289,354"
,2009,"1,927","8,251","100,056","51,820","1,60,127",--,"325,454"
,2010,"1,961","9,031","101,083","52,683","162,797",--,"366,829"
,2011,"1,956","9,783","104,665","58,327","172,775",--,"419,109"
,2012,"2,148","9,590","108,965","61,556","180,111",--,"448,843"
,2013,"2,230","10,372","109,327","65,655","185,354",--,"423,740"
,2014,"2,254","11,181","106,849","65,011","183,041",,"462,475"
,2015,"2,398","13,548","116,204","64,633","194,385",--,"629,814"
Oil,1981,8,--,--,"14,548","14,548","7,920","2,748"
,,,,,,,,
,1991,24,--,--,"35,513","35,513","9,508","15,062"
,,,,,,,"3,543(GS)","3,471"
,2000,45,--,--,"23,442","23,442","14,244","76,939"
,,,,,,,"7,821(GS)","16,015"
,2001,43,--,--,"24,481","24,481","14,564","85,176"
,,,,,,,"8,203(GS)","21,571"
,2002,42,--,--,"22,348","22,348","14,562","101,896"
,,,,,,,"8,024 (GS)","21,430"
,2003,49,--,--,"18,592","18,592","18,503","111,504"
,,,,,,,"8,494(GS)","20,393"
,2004,47,--,--,"19,155","19,155","16,641","148,418"
,,,,,,,"6,456(GS)","17,665"
,2005,50,--,--,"19,288","19,288","16,947","209,428"
,,,,,,,"6,557(GS)","21,159"
,2006,44,--,--,"13,932","13,932","21,125","356,215"
,,,,,,,"4,548(GS)","14,442"
,2007,49,--,--,"19,211","19,211","14,307","233,350"
,,,,,,,"7,612(GS)","23,594"
,2008,67,--,--,"23,574","23,574","14,703","258,856"
,,,,,,,"12,788(GS)","35,434"
,2009,75,--,--,"24,895","24,895","17,534","306,800"
,,,,,,,"15,454(GS)","44,851"
,2010,82,--,--,"29,443","29,443","22,817","345,904"
,,,,,,,"15,449(GS)","58,897"
,2011,85,--,--,"27,347","27,347","18,949","321,355"
,,,,,,,"18,266 (GS)","78,042"
,2012,86,--,--,"22,798","22,798","17,678","492,060"
,,,,,,,"19,394(GS)","103,181"
,2013,88,--,--,"25,971","25,971","19,319","565,656"
,,,,,,,"13,925(GS)","88,152"
,2014,92,,,"24,815","24,815","22,886","544,443"
,,,,,,,"13,888(GS)","80,594"
,2015,112,--,--,"28,471","28,471","20,667","473,290"
,,,,,,,"13,837(GS)","85,028"
,1981,"1,776","29,289","135,450","71,706","236,445",--,"6,368"
,1991,"1,811","23,832","116,743","95,171","235,746",--,"37,609"
,2000,"2,067","14,398","91,443","74,513","180,354",--,"146,065"
,2001,"1,950","10,959","80,672","69,491","161,122",--,"160,779"
,2002,"1,912","10,266","83,183","65,837","159,286",--,"188,291"
,2003,"1,765","7,742","84,261","63,557","155,560",--,"209,503"
,2004,"1,811","8,061","89,165","65,473","162,699",--,"270,367"
,2005,"1,885","7,911","88,686","63,608","160,205",--,"364,005"
,2006,"1,764","7,814","88,673","60,817","157,304",--,"532,817"
,2007,"1,819","8,539","94,934","67,461","170,934",--,"482,295"
,2008,"1,971","9,088","97,233","73,340","179,661",--,"583,644"
,2009,"2,002","8,251","100,056","76,715","185,022",--,"677,105"
,2010,"2,043","9,031","101,083","82,126","192,240",--,"771,629"
,2011,"2,041","9,783","104,665","85,674","200,112",--,"818,504"
,2012,"2,233","9,590","108,965","84,345","202,909",--,"104,4085"
,2013,"2,318","10,372","109,327","91,626","211,325",--,"107,7548"
,2014,"2,346","11,181","106,849","89,826","207,856",,"108,7512"
,2015,"2,500","13,548","116,204","93,104","222,856",--,"118,8132"
